Il,Ilce,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Adana,Aladağ,704,678,643,812,603,802,803,555,563,456,479,448,338,290,263,159,140,32,6
Adana,Ceyhan,6900,7144,7401,7577,6249,6181,6212,5268,4932,5080,4769,4187,2940,1936,1317,849,665,207,50
Adana,Çukurova,12351,13572,14065,14248,11345,12018,13730,14111,13798,12396,11764,10061,7370,4313,2162,1160,609,203,45
Adana,Feke,717,725,824,862,693,720,723,657,672,531,541,506,381,344,333,201,167,85,17
Adana,İmamoğlu,1215,1322,1420,1412,1073,1020,1095,1013,1003,983,939,753,586,372,292,185,139,60,11
Adana,Karaisalı,725,806,961,988,899,811,738,654,785,711,650,586,505,403,355,278,211,78,15
Adana,Karataş,894,922,853,870,753,871,843,792,773,741,712,644,505,349,221,140,105,31,3
Adana,Kozan,5264,5431,5896,5850,4271,4548,4979,4770,4723,4380,3876,3142,2556,1754,1246,878,671,224,67
Adana,Pozantı,776,788,738,839,851,905,839,751,726,676,696,545,551,408,305,225,153,66,17
Adana,Saimbeyli,641,659,757,859,650,638,646,563,527,490,468,437,348,282,260,144,147,36,11
Adana,Sarıçam,6452,6596,6305,6783,6165,5847,6175,5771,5356,4862,3770,2677,1721,932,597,379,252,84,13
Adana,Seyhan,35148,35557,34973,34834,29282,32107,34619,30201,25624,22730,19720,16516,13022,8306,5290,3449,2262,721,149
Adana,Tufanbeyli,672,654,702,754,720,833,760,558,610,593,604,524,456,353,280,194,185,76,19
Adana,Yumurtalık,679,699,784,789,656,635,631,649,681,697,683,556,390,271,195,113,98,34,6
Adana,Yüreğir,22198,21505,20768,19970,16797,17659,18641,15789,13545,11580,9993,8336,6263,3768,2550,1393,947,279,81
Adıyaman,Merkez,14752,13893,13867,14145,12188,12006,12402,10335,8950,7768,5739,4416,3567,2249,1647,1145,1024,258,39
Adıyaman,Besni,3609,3698,3983,4084,3196,3003,2943,2465,2277,2016,1825,1568,1314,905,758,491,387,115,19
Adıyaman,Çelikhan,736,745,736,807,649,680,635,541,511,404,294,251,272,217,160,97,75,25,20
Adıyaman,Gerger,1142,1171,1372,1453,883,732,535,425,429,347,346,303,288,319,254,247,189,49,3
Adıyaman,Gölbaşı,2116,2049,2144,2270,1789,1972,1908,1740,1569,1387,1269,1021,839,654,521,327,294,89,13
Adıyaman,Kahta,6671,6899,7228,7439,5683,4857,4010,3402,2893,2465,1963,1554,1331,960,774,635,453,124,40
Adıyaman,Samsat,481,464,500,562,491,359,331,266,233,214,181,134,117,95,60,37,30,9,0
Adıyaman,Sincik,889,979,1134,1228,899,686,503,416,442,340,331,307,286,229,194,152,114,28,8
Adıyaman,Tut,517,499,554,527,420,456,425,374,331,280,260,165,195,143,144,78,87,37,2
