Il,Ilce,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90+
Adana,Aladağ,722,657,650,759,614,646,564,499,520,428,506,472,350,349,265,238,128,58,22
Adana,Ceyhan,6628,6843,6988,7045,6003,5978,5846,5216,4930,4915,4766,3935,3090,2259,1775,1382,1089,529,162
Adana,Çukurova,11791,12843,13487,13394,11791,13943,16567,16518,14853,13264,12003,9782,6908,4270,2425,1510,1101,563,171
Adana,Feke,649,697,811,779,523,584,547,513,600,471,541,477,412,396,366,197,164,88,20
Adana,İmamoğlu,1188,1277,1374,1317,971,982,958,986,1011,1018,927,759,590,504,405,264,230,71,23
Adana,Karaisalı,723,798,878,955,680,629,621,722,787,731,712,643,509,458,437,352,262,139,35
Adana,Karataş,868,883,809,820,750,815,858,779,745,701,648,587,480,352,297,212,147,64,25
Adana,Kozan,4940,5248,5690,5300,4190,4358,4629,4669,4781,4277,3689,2945,2550,2089,1693,1089,916,401,173
Adana,Pozantı,767,680,752,785,674,720,682,637,681,638,633,599,549,431,357,229,170,92,23
Adana,Saimbeyli,637,661,731,723,594,542,559,508,492,439,439,363,356,366,247,119,149,70,14
Adana,Sarıçam,6033,6187,6054,6577,6479,5554,5729,5209,4958,4268,3437,2340,1666,1033,777,499,374,172,56
Adana,Seyhan,33100,33327,33292,32827,30844,32148,33663,29650,26138,22772,20547,17372,13901,9881,7060,5194,3549,1623,549
Adana,Tufanbeyli,649,578,676,646,574,575,590,442,582,560,552,461,462,437,385,232,198,56,32
Adana,Yumurtalık,675,672,748,724,581,625,591,607,699,667,629,533,422,332,291,184,150,73,14
Adana,Yüreğir,20980,20599,19569,18593,17403,17660,18046,15005,13213,11082,9992,8501,6620,4528,2988,2153,1454,759,248
Adıyaman,Merkez,14015,13332,13205,13917,12493,12039,12134,10062,8754,6641,5766,4176,3877,3013,1909,1435,964,650,265
Adıyaman,Besni,3430,3550,3829,3890,3248,2790,2862,2509,2165,1880,1685,1551,1507,1192,975,729,525,303,128
Adıyaman,Çelikhan,672,731,706,778,609,645,548,519,444,378,302,259,276,233,142,104,103,58,25
Adıyaman,Gerger,1103,1200,1209,1421,901,753,565,478,426,382,402,375,426,375,354,258,184,104,55
Adıyaman,Gölbaşı,1955,2004,2046,2086,1580,1768,1848,1768,1639,1262,1156,1021,934,756,588,427,349,153,95
Adıyaman,Kahta,6214,6516,6894,7013,5530,4697,3969,3448,2986,2122,1960,1752,1560,1289,931,702,453,293,155
Adıyaman,Samsat,450,517,498,532,421,363,318,287,243,188,169,155,147,138,90,36,33,23,8
Adıyaman,Sincik,864,883,1124,1202,1034,748,574,503,418,370,349,369,357,266,194,140,89,63,38
Adıyaman,Tut,455,485,514,445,347,369,403,383,308,229,231,218,223,184,158,111,79,38,23
Afyonkarahisar,Merkez,10900,10882,10816,12457,13411,11560,11993,10246,9146,7428,7074,5681,4328,2908,2297,1753,1270,514,101
Afyonkarahisar,Başmakçı,298,324,385,368,326,332,320,282,368,344,407,354,273,248,242,180,156,66,11
