Il,Ilce,Mahalle,Nufus
Adana,Aladağ,Akören,1102
Adana,Aladağ,Akpınar,582
Adana,Aladağ,Başpınar,840
Adana,Aladağ,Boztahta,267
Adana,Aladağ,Büyüksofulu,1721
Adana,Aladağ,Ceritler,1068
Adana,Aladağ,Dailer,125
Adana,Aladağ,Darılık,188
Adana,Aladağ,Dölekli,624
Adana,Aladağ,Ebrişim,143
Adana,Aladağ,Eğner,139
Adana,Aladağ,Gerdibi,1192
Adana,Aladağ,Gireğiyeniköy,289
Adana,Aladağ,Gökçeköy,301
Adana,Aladağ,Kabasakal,224
Adana,Aladağ,Karahan,232
Adana,Aladağ,Kıcak,878
Adana,Aladağ,Kışlak,317
Adana,Aladağ,Kızıldam,576
Adana,Aladağ,Kökez,1053
Adana,Aladağ,Köprücük,404
Adana,Aladağ,Küp,85
Adana,Aladağ,Madenli,113
Adana,Aladağ,Mansurlu,1515
Adana,Aladağ,Mazılık,93
Adana,Aladağ,Posyağbasan,430
Adana,Aladağ,Sinanpaşa,1523
Adana,Aladağ,Topallı,267
Adana,Aladağ,Uzunkuyu,232
Adana,Aladağ,Yetimli,480
Adana,Aladağ,Yüksekören,110
Adana,Ceyhan,Adapınar,292
Adana,Ceyhan,Adatepe,111
Adana,Ceyhan,Ağaçlı,110
Adana,Ceyhan,Ağaçpınar,237
Adana,Ceyhan,Akdam,524
Adana,Ceyhan,Altıgöz,185
Adana,Ceyhan,Altıkara,62
Adana,Ceyhan,Altıocak,3075
Adana,Ceyhan,Aydemiroğlu,593
Adana,Ceyhan,Aydınlar,280
Adana,Ceyhan,Azizli,353
Adana,Ceyhan,Başören,1592
Adana,Ceyhan,Belediye Evleri,6732
Adana,Ceyhan,Birkent,1107
Adana,Ceyhan,Bota,2493
Adana,Ceyhan,Burhaniye,5122
Adana,Ceyhan,Burhanlı,347
Adana,Ceyhan,Büyükburhaniye,128
Adana,Ceyhan,Büyükkırım,981
Adana,Ceyhan,Büyükmangıt,3954
Adana,Ceyhan,Camuzağılı,491
Adana,Ceyhan,Ceyhanbekirli,143
Adana,Ceyhan,Civantayak,476
Adana,Ceyhan,Cumhuriyet,8768
Adana,Ceyhan,Çakaldere,404
